partei_id;Name;Vorname;vote
FDP;Willkomm;Katharina;4
DIE LINKE.;Achelwilm;Doris;0
DIE LINKE.;Akbulut;Gökay;0
DIE LINKE.;Barrientos;Simone;0
DIE LINKE.;Bartsch;Dietmar;0
DIE LINKE.;Beutin;Lorenz Gösta;0
DIE LINKE.;Birkwald;Matthias W.;0
DIE LINKE.;Bluhm-Förster;Heidrun;4
DIE LINKE.;Brandt;Michel;0
DIE LINKE.;Buchholz;Christine;4
DIE LINKE.;Bull-Bischoff;Birke;4
DIE LINKE.;Cezanne;Jörg;0
DIE LINKE.;Dağdelen;Sevim;0
DIE LINKE.;De Masi;Fabio;0
DIE LINKE.;Dehm;Diether;4
DIE LINKE.;Domscheit-Berg;Anke;0
DIE LINKE.;Ernst;Klaus;0
DIE LINKE.;Ferschl;Susanne;0
DIE LINKE.;Freihold;Brigitte;4
DIE LINKE.;Gabelmann;Sylvia;4
DIE LINKE.;Gohlke;Nicole;4
DIE LINKE.;Gysi;Gregor;0
DIE LINKE.;Hahn;André;0
DIE LINKE.;Hänsel;Heike;0
DIE LINKE.;Höhn;Matthias;0
DIE LINKE.;Hunko;Andrej;0
DIE LINKE.;Jelpke;Ulla;0
DIE LINKE.;Kassner;Kerstin;0
DIE LINKE.;Kessler;Achim;4
DIE LINKE.;Kipping;Katja;4
DIE LINKE.;Korte;Jan;4
DIE LINKE.;Krellmann;Jutta;0
DIE LINKE.;Lay;Caren;0
DIE LINKE.;Leidig;Sabine;0
DIE LINKE.;Lenkert;Ralph;0
DIE LINKE.;Leutert;Michael;4
DIE LINKE.;Liebich;Stefan;0
DIE LINKE.;Lötzsch;Gesine;0
DIE LINKE.;Lutze;Thomas;0
DIE LINKE.;Meiser;Pascal;0
DIE LINKE.;Mohamed Ali;Amira;0
DIE LINKE.;Möhring;Cornelia;0
DIE LINKE.;Movassat;Niema;0
DIE LINKE.;Müller;Norbert;0
DIE LINKE.;Nastic;Zaklin;0
DIE LINKE.;Neu;Alexander S.;0
DIE LINKE.;Nord;Thomas;0
DIE LINKE.;Pau;Petra;0
DIE LINKE.;Pellmann;Sören;0
DIE LINKE.;Perli;Victor;0
DIE LINKE.;Pflüger;Tobias;0
DIE LINKE.;Remmers;Ingrid;4
DIE LINKE.;Renner;Martina;0
DIE LINKE.;Riexinger;Bernd;0
DIE LINKE.;Schreiber;Eva-Maria;0
DIE LINKE.;Sitte;Petra;0
DIE LINKE.;Sommer;Helin Evrim;0
DIE LINKE.;Steinke;Kersten;4
DIE LINKE.;Straetmanns;Friedrich;0
DIE LINKE.;Tackmann;Kirsten;0
DIE LINKE.;Tatti;Jessica;0
DIE LINKE.;Ulrich;Alexander;0
DIE LINKE.;Vogler;Kathrin;0
DIE LINKE.;Wagenknecht;Sahra;4
DIE LINKE.;Wagner;Andreas;0
DIE LINKE.;Weinberg;Harald;0
DIE LINKE.;Werner;Katrin;0
DIE LINKE.;Zdebel;Hubertus;0
DIE LINKE.;Zimmermann;Pia;4
DIE LINKE.;Zimmermann;Sabine;4
GRÜNE;Amtsberg;Luise;4
GRÜNE;Badum;Lisa;2
GRÜNE;Baerbock;Annalena;2
GRÜNE;Bause;Margarete;2
GRÜNE;Bayaz;Danyal;2
GRÜNE;Bayram;Canan;2
GRÜNE;Brantner;Franziska;2
GRÜNE;Brugger;Agnieszka;2
GRÜNE;Christmann;Anna;2
GRÜNE;Deligöz;Ekin;2
GRÜNE;Dörner;Katja;4
GRÜNE;Dröge;Katharina;2
GRÜNE;Ebner;Harald;2
GRÜNE;Gastel;Matthias;2
GRÜNE;Gehring;Kai;2
GRÜNE;Gelbhaar;Stefan;2
GRÜNE;Göring-Eckardt;Katrin;2
GRÜNE;Grundl;Erhard;2
